	CBC_MCAV_001	CBC_MCAV_002	CBC_MCAV_003	CBC_MCAV_004	CBC_MCAV_005	CBC_MCAV_006	CBC_MCAV_007	CBC_MCAV_008	CBC_MCAV_009	CBC_MCAV_010	CBC_MCAV_011	CBC_MCAV_012	CBC_MCAV_013	CBC_MCAV_014	CBC_MCAV_015	CBC_MCAV_016	CBC_MCAV_017	CBC_MCAV_018	CBC_MCAV_019	CBC_MCAV_020	CBC_MCAV_021	CBC_MCAV_022	CBC_MCAV_023	CBC_MCAV_024	CBC_MCAV_025	CBC_MCAV_026	CBC_MCAV_027	CBC_MCAV_028	CBC_MCAV_029	CBC_MCAV_030	CBC_MCAV_031	CBC_MCAV_032	CBC_MCAV_033	CBC_MCAV_034	CBC_MCAV_035	CBC_MCAV_036	CBC_MCAV_037	CBC_MCAV_038	CBC_MCAV_039	CBC_MCAV_040	CBC_MCAV_041	CBC_MCAV_042	CBC_MCAV_043	CBC_MCAV_044	CBC_MCAV_045	CBC_MCAV_046	CBC_MCAV_047	CBC_MCAV_048	CBC_MCAV_049	CBC_MCAV_050	CBC_MCAV_051	CBC_MCAV_052	CBC_MCAV_053	CBC_MCAV_054	CBC_MCAV_055	CBC_MCAV_056	CBC_MCAV_057	CBC_MCAV_058	CBC_MCAV_059	CBC_MCAV_060	CBC_MCAV_061	CBC_MCAV_062	CBC_MCAV_063	CBC_MCAV_064	CBC_MCAV_065	CBC_MCAV_066	CBC_MCAV_067	CBC_MCAV_068	CBC_MCAV_069	CBC_MCAV_070	CBC_MCAV_071	CBC_MCAV_072	CBC_MCAV_073	CBC_MCAV_074	CBC_MCAV_075	CBC_MCAV_076	CBC_MCAV_077	CBC_MCAV_078	CBC_MCAV_079	CBC_MCAV_080	CBC_MCAV_081	CBC_MCAV_082	CBC_MCAV_083	CBC_MCAV_084	CBC_MCAV_085	CBC_MCAV_086	CBC_MCAV_087	CBC_MCAV_088	CBC_MCAV_089	CBC_MCAV_090	CBC_MCAV_091	CBC_MCAV_092	CBC_MCAV_093	CBC_MCAV_094	CBC_MCAV_095	CBC_MCAV_096	CBC_MCAV_097	CBC_MCAV_098	CBC_MCAV_099	CBC_MCAV_100	CBC_MCAV_101	CBC_MCAV_102	CBC_MCAV_103	CBC_MCAV_104	CBC_MCAV_105	CBC_MCAV_106	CBC_MCAV_107	CBC_MCAV_108	CBC_MCAV_109	CBC_MCAV_110	CBC_MCAV_111	CBC_MCAV_112	CBC_MCAV_113	CBC_MCAV_114	CBC_MCAV_115	CBC_MCAV_116	CBC_MCAV_117	CBC_MCAV_118	CBC_MCAV_119	CBC_MCAV_120	CBC_MCAV_121	CBC_MCAV_122	CBC_MCAV_123	CBC_MCAV_124	CBC_MCAV_125	CBC_MCAV_126	CBC_MCAV_127	CBC_MCAV_128	CBC_MCAV_129	CBC_MCAV_130	CBC_MCAV_131	CBC_MCAV_132	CBC_MCAV_133	CBC_MCAV_134	CBC_MCAV_135	CBC_MCAV_136	CBC_MCAV_137	CBC_MCAV_138	CBC_MCAV_139	CBC_MCAV_140	CBC_MCAV_141	CBC_MCAV_142	CBC_MCAV_143	CBC_MCAV_144	CBC_MCAV_145	CBC_MCAV_146	CBC_MCAV_147	CBC_MCAV_148	CBC_MCAV_149	CBC_MCAV_150	CBC_MCAV_151	CBC_MCAV_152	CBC_MCAV_153	CBC_MCAV_154	CBC_MCAV_155	CBC_MCAV_156	CBC_MCAV_157	CBC_MCAV_158	CBC_MCAV_159	CBC_MCAV_160	CBC_MCAV_161	CBC_MCAV_162	CBC_MCAV_163	CBC_MCAV_164	CBC_MCAV_165	CBC_MCAV_166	CBC_MCAV_167	CBC_MCAV_168	CBC_MCAV_169	CBC_MCAV_170	CBC_MCAV_171	CBC_MCAV_172	CBC_MCAV_173	CBC_MCAV_174	CBC_MCAV_175	CBC_MCAV_176	CBC_MCAV_177	CBC_MCAV_178	CBC_MCAV_179	CBC_MCAV_180	CBC_MCAV_181	CBC_MCAV_182	CBC_MCAV_183	CBC_MCAV_184	CBC_MCAV_185	CBC_MCAV_186	CBC_MCAV_187	CBC_MCAV_188	CBC_MCAV_189	CBC_MCAV_190	CBC_MCAV_191	CBC_MCAV_192	CBC_MCAV_193	CBC_MCAV_194	CBC_MCAV_195	CBC_MCAV_196	CBC_MCAV_197	CBC_MCAV_198	CBC_MCAV_199	CBC_MCAV_200	CBC_MCAV_201	CBC_MCAV_202	CBC_MCAV_203	CBC_MCAV_204	CBC_MCAV_205	CBC_MCAV_206	CBC_MCAV_207	CBC_MCAV_208	CBC_MCAV_209	CBC_MCAV_210	CBC_MCAV_211	CBC_MCAV_212	CBC_MCAV_213	CBC_MCAV_214	CBC_MCAV_215	CBC_MCAV_216	CBC_MCAV_217	CBC_MCAV_218	CBC_MCAV_219	CBC_MCAV_220	CBC_MCAV_221	CBC_MCAV_222	CBC_MCAV_223	CBC_MCAV_224	CBC_MCAV_225	CBC_MCAV_226	CBC_MCAV_227	CBC_MCAV_228	CBC_MCAV_229	CBC_MCAV_230	CBC_MCAV_231	CBC_MCAV_232	CBC_MCAV_233	CBC_MCAV_234	CBC_MCAV_236	CBC_MCAV_237	CBC_MCAV_238	CBC_MCAV_239	CBC_MCAV_240	CBC_MCAV_241	CBC_MCAV_242
sq1	15797	91072	56811	110893	70241	76025	62760	97814	47497	112213	92728	100389	121897	54249	190853	21723	90821	66651	65475	374	162921	11951	79082	78064	65960	54461	141472	102450	7197	14229	65225	56707	117846	53953	97394	38521	61728	97961	104201	105026	60507	133	99824	4375	145457	18708	78177	126206	36824	71437	160712	59814	94345	69286	100068	65904	202	404	57221	78560	122362	50844	123202	48725	33697	115210	4201	87847	74636	61973	58897	72755	42546	74743	68636	116120	58096	45602	58141	163	59391	65763	57481	26006	10398	62184	62820	11075	19960	88713	76619	83713	92240	75960	56515	32519	84603	95	149618	76750	88603	26332	11434	162	42155	17926	3207	125497	11470	92819	79504	11038	85654	86588	123002	8299	72648	16108	110373	73225	61616	67678	52210	57782	58244	62405	42386	79928	64672	92862	17563	89325	49157	6682	56303	102440	19581	12803	58164	100548	7622	37251	62478	16205	77400	35094	38118	92484	147	30316	40143	125	39333	82684	130878	57375	73421	50181	63578	75680	134050	73682	581	71282	121637	75992	77258	43344	24036	54949	70160	42447	56650	67926	69147	66461	45494	60573	97595	106462	42634	70595	97014	46501	13195	4285	61009	99885	1902	131041	18740	86674	34802	7128	34453	73741	2107	68381	71152	20665	85494	97811	42318	53358	82385	77242	29155	6829	59185	42251	24748	5555	124930	53684	12281	29263	34142	52354	51892	4327	49695	63905	53256	67090	143357	60647	45360	101145	44671	54070	10863	27350	25371	159720	113647	51567	41672	36590	72353	78569	29655
sq2	7741	28626	29093	50417	35800	33481	32554	41165	23232	45194	41878	52852	59207	24764	92089	11440	28965	31278	16726	32	61861	5899	32298	16417	26964	8684	13244	29112	3569	6866	17866	27611	26709	3336	21098	10452	15954	36658	26512	31206	5919	37	34248	2246	7741	7698	29244	19443	6351	38561	44734	15560	49847	30503	24169	22459	114	20	24304	33745	64582	27132	55608	21461	7425	61099	2596	39699	37678	32154	29474	33837	15345	38020	35164	37694	19387	17520	16753	104	25886	23150	26377	8264	4523	30749	25903	4821	8917	52935	16326	36170	40223	34540	25812	11524	39170	18	15722	16715	24674	12225	2355	41	22012	8471	1561	32697	1779	42460	40332	6701	37901	26813	7904	2511	38806	7259	44966	4540	26359	26596	27744	28391	27387	31569	23571	39631	31477	48775	8968	47235	14924	3191	28428	53209	9761	5449	27836	39575	3272	23533	23486	6443	38722	19708	15742	35846	65	16270	18601	29	23883	33172	0	26664	11279	26405	10036	29526	35906	3993	0	34347	29214	19675	29986	15853	6553	25900	38126	22678	24346	27174	36143	29781	9685	30465	38371	42984	19565	29709	5839	20835	5999	2117	22237	46726	812	86869	11361	48752	16986	3436	17335	37185	964	35045	28523	11731	45079	49192	19914	26559	10018	35983	14581	3690	28636	18376	13307	3370	61780	24498	5797	18121	16792	24252	27912	2282	31656	33714	27662	32283	67263	35355	22321	45711	21789	21401	5344	14801	13817	83106	29674	27877	23301	17186	34555	32860	12985
sq3	3995	14087	16532	32530	18861	14855	19166	20098	14198	26097	16660	34080	35510	15741	53545	7112	21691	18909	10327	4	45569	3445	19519	11908	16358	5465	9678	14990	1827	3243	10582	13801	17011	11995	11090	8029	9835	24074	12944	21022	3863	42	16957	1160	8163	4916	13163	15828	4052	23081	25386	7208	24155	17772	17088	13471	36	0	14610	20589	30610	13786	24759	9020	3366	35665	1029	25121	22104	16907	17174	22189	8267	21521	23308	21170	11562	11745	10111	25	16003	11784	16234	4600	2665	17743	14600	2641	5269	29394	13701	15045	20336	16692	12928	8136	22588	9	12470	11517	13981	6951	1723	21	12563	3915	902	17526	1277	23622	25469	3005	28452	12402	8401	1845	20864	4418	29128	30472	14424	14951	14604	18759	16994	17665	10450	25613	17051	23681	5340	25701	9234	1360	18524	24466	6198	3858	16842	28456	2354	13008	16992	3422	23445	10309	8453	23799	23	8433	8967	13	11789	19668	6753	15455	5036	13075	5588	20728	29814	11082	19	19599	22770	12536	22697	12314	3642	18159	19926	12499	15316	18848	19714	13845	7602	16415	19999	17152	13371	16880	19638	12358	3892	690	11141	22606	273	39339	5119	22898	9865	1970	7914	19547	471	16233	16733	4993	29375	21997	8294	13914	4468	20473	9846	1617	18785	7069	8679	1667	30691	15415	3600	13077	10871	16823	17710	966	18632	21076	17887	23240	43289	17491	9906	28294	13012	12261	2620	6669	6015	40080	17040	11111	13991	8400	18126	21099	5426
sq4	3187	12753	12645	26264	18680	22123	13697	27064	11947	25643	22044	23761	28561	13146	54030	4642	11755	16883	7783	0	30169	2167	17648	8127	15144	4186	5971	15166	1453	2987	8816	11414	10042	362	11422	5709	9804	20359	14606	11483	3455	10	15762	397	4076	5121	17271	11033	2388	16984	25486	7311	26210	13485	12047	10237	15	1	12609	14044	34334	11602	33348	13822	3402	25970	863	19142	17328	14748	12330	17109	7439	19250	14922	17925	9000	6869	10179	6	13352	11063	14084	3138	1578	13385	12632	2076	4765	18617	10452	21721	16584	17299	12640	6368	20634	0	8694	6990	13901	6766	992	17	10063	4421	362	16837	694	20135	19166	2273	20093	14115	3890	817	18098	3597	28390	279	18462	13833	13160	12177	12281	14834	10689	19771	15581	23531	3774	20374	6503	1108	14233	29754	4006	2250	14913	23182	1269	7269	14195	2536	15909	7344	8502	15868	4	6858	10774	0	10842	17606	188	14664	4576	12337	5384	16174	17592	0	0	13989	16365	10053	16937	9744	3041	10531	15666	11316	12032	16622	14646	17998	6388	14845	19667	24394	10182	15016	478	9822	2683	274	12570	29237	147	32301	4334	21173	8879	1310	8965	19400	133	20629	17638	5020	17970	23844	12449	12129	4525	18923	6300	1227	13570	11468	5869	744	26602	12008	2533	6894	6835	11484	10622	710	12647	13684	11162	15366	34825	16997	9493	23028	10970	14741	2328	7186	5480	39710	13642	13460	10020	8261	17575	20425	7696
sq5	2215	7691	8304	15591	9255	7242	9216	10024	6682	14359	9105	17049	18648	7612	25239	3499	10823	9546	5448	2918	21828	1529	9341	7568	8077	3149	6147	9249	841	1802	5721	6777	10000	16504	5945	4018	6595	11802	8140	12545	2457	4027	9539	403	7575	2520	8190	8404	2665	10881	13628	3471	11817	9706	10775	6563	1812	2108	7141	10841	14204	6846	11544	4655	1877	17949	471	11532	10640	8395	10357	10918	3550	8842	10844	10594	5542	6338	6707	1843	7210	7631	9733	2440	1191	8434	6858	1301	2678	14598	8557	9192	10124	8262	7547	3354	11619	1940	9871	8270	8180	3417	1235	1743	6167	2139	649	10103	864	11448	12160	1536	18352	6663	7485	1092	8491	2143	14497	39302	5102	6698	7139	9324	7732	7919	5162	10789	9852	11488	2145	12246	4013	700	8769	11740	2535	1913	8588	13904	1280	6779	8485	1600	12467	4829	3374	11391	2299	4704	4241	1481	6613	9419	9219	7105	3203	7786	2992	8618	18620	7508	3063	9531	12086	7607	11523	6325	2197	9616	11983	5499	8053	8550	9473	6723	4107	9023	8967	7849	5253	8019	15481	5949	2023	0	4882	13174	0	17920	2483	10572	4682	891	4280	8652	145	7855	8077	2244	15148	10094	3331	7104	3193	9022	3977	692	9177	4056	4024	715	15212	7406	1686	5768	5113	7392	8331	701	8453	9738	8315	10678	20465	8161	4822	12218	5622	5352	1115	2870	2581	18545	11331	5347	5997	4961	5624	9724	2933
sq6	2097	8631	6608	14257	11279	11238	6791	15846	5718	19592	10461	11522	15085	7956	33208	2274	5962	9213	3724	0	16952	1698	11107	5096	8308	2378	3419	9085	1036	1747	4507	5460	4606	0	7570	4034	5717	10686	9692	5195	2027	0	10062	356	2611	3021	10687	6545	1419	10914	16209	4038	16299	9255	7306	5937	3	0	7324	6271	19957	5018	19172	7657	2155	13100	437	12500	8433	6955	5884	9010	4322	10662	7654	12881	6787	3332	5396	3	8573	8477	10827	1724	1162	8997	7368	1181	3326	9767	6182	12595	9840	10269	8820	4661	13921	0	4564	3467	8700	4473	665	7	4598	2084	268	10479	428	10274	9474	1444	9969	8695	2307	722	10627	2472	17926	0	6984	9693	7020	6408	7823	8326	5897	9591	10015	12095	1954	11232	3553	622	8563	16996	2185	1460	7468	14665	860	2767	9056	1694	6569	4629	5737	8058	0	3656	6084	0	4599	12021	0	8445	2376	6626	2571	8455	8908	0	0	8665	8097	5606	10843	6055	1893	5100	8151	6358	7572	9603	6406	10559	2950	8009	12169	13481	6184	8906	0	6011	1973	264	6202	16891	0	17960	1976	10860	4336	891	5018	10801	0	11658	9913	2186	8872	9886	6654	6090	2519	10554	2504	617	6042	5115	2263	396	14310	6836	1512	2093	4236	6090	3916	605	3715	7171	4685	7770	16306	7637	6595	10515	4438	9253	1456	3762	3400	21502	7822	6107	3783	5038	8923	10576	3667
sq7	1778	4997	5566	10708	8222	6705	6250	8895	4791	14275	7906	11057	7361	5068	15084	2389	5192	6147	3595	647	13186	875	6490	2230	4830	1513	1968	5051	553	1344	2384	2809	2404	0	3612	1668	2762	4375	4589	5831	921	2583	5458	221	1140	1646	6189	3719	1151	7034	7968	2969	9488	7149	4519	4474	907	423	4157	7547	11396	5602	12446	4904	1230	15419	526	8520	7559	6156	6785	7586	3218	7674	7281	8574	5768	2723	2890	1267	4838	6106	7316	1435	606	5432	4849	898	1561	10559	4012	7435	7836	8270	7528	3489	11307	549	2110	2968	4012	2568	604	1939	4678	2439	225	4736	266	7923	8595	862	6242	4662	1502	0	7143	2222	11408	0	4865	9866	6952	6409	5629	6580	5516	7537	8607	9545	1459	9877	3065	541	6272	10374	2769	1406	5256	11833	959	5562	8200	867	6163	3376	4224	6564	1165	4373	4205	767	4191	10828	0	6288	2751	6614	1970	6832	5953	0	0	5705	6182	4300	10537	5650	1492	8697	10825	4514	7091	8631	5933	6977	2446	8002	6747	6171	4938	5473	0	5638	1738	202	4529	11957	70	13763	2485	10774	3462	870	4356	6466	102	6969	5583	2202	10553	8857	4106	6341	1619	7683	2345	513	5438	4537	2618	509	12928	5520	1231	3443	3926	5347	4521	430	6355	6632	4636	6377	11703	6092	4288	6935	3697	6870	953	2411	2794	15145	4898	6281	4394	4484	7509	6954	2734
sq8	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151359	0	0	0	0	18	42	0	0	0	5	6	62	0	88	51	73	0	0	61	8	29	37381	0	0	0	0	0	0	0	0	0	0	0	0	0	60	43296	76008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	35973	0	0	0	17	0	0	0	0	0	5	0	0	18	0	0	0	0	36250	0	0	0	0	0	35297	0	0	0	0	0	35	0	0	20	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	2	47133	0	0	84999	0	9	0	0	3	0	197	13	22	42	78227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq9	421	1406	2063	3870	156	225	2237	216	1799	2442	866	3989	4724	2161	6929	969	2072	2639	1369	0	5643	399	2741	1271	1814	558	722	1892	223	329	1117	1427	1257	0	1143	890	688	2424	2084	1782	484	554	1800	0	451	777	1775	1558	299	2076	3074	45	3343	1644	1703	1035	386	0	1784	1863	4144	1779	1136	546	185	4199	97	3735	2757	2294	1985	2634	746	2160	3113	3067	1122	1411	1305	428	1795	1719	2100	357	281	1904	1206	241	657	2581	1404	2122	2794	2618	1988	534	1469	0	903	1125	1413	920	171	722	1149	714	0	2069	119	2790	2282	328	1075	1844	659	0	1945	585	4016	0	2140	1433	2204	2212	2023	2303	1464	2433	1642	3307	524	3174	1014	235	1027	3734	771	247	2098	1518	126	1588	1221	181	2986	1223	1211	2581	458	1065	1927	0	1590	2984	0	3237	561	1853	613	2257	2646	0	0	2201	2563	1136	1395	842	460	2153	2458	1892	1502	1291	2758	3037	730	2300	2653	3156	1545	2200	0	1496	249	0	2255	3831	0	5141	711	3001	1160	181	1127	2922	0	2141	2426	616	3575	4452	1488	1487	271	2613	1412	210	2319	462	1115	151	3636	1961	477	1139	1185	1768	1791	156	2518	2262	1909	2917	5616	2918	1321	3288	1492	2101	387	1023	876	5444	1851	2748	1788	1293	3547	2840	611
sq10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47345	0	17785	0	14054	0	0	0	0	0	0	0	0	0	0	0	0	24862	0	0	0	0	0	209	0	277	0	0	0	0	0	0	0	53422	0	9609	0	34692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14192	0	0	1399	0	18903	0	401	0	0	1701	0	0	280	0	0	1527	0	0	0	4089	1460	0	12251	0	102	641	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26453	0	0	0	0	0	0	0	0	0	0	22278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17991	0	0	0	0	0	0
