Sample_ID	Sample_site	Depth_zone_m	Sample_date	site_lat	site_long
CBC_MCAV_001	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_002	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_003	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_004	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_005	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_006	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_007	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_008	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_009	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_010	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_011	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_012	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_013	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_014	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_015	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_016	RW	25	03/23/17	16.776067	-88.07465
CBC_MCAV_017	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_018	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_019	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_020	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_021	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_022	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_023	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_024	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_025	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_026	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_027	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_028	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_029	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_030	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_031	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_032	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_033	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_034	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_035	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_036	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_037	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_038	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_039	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_040	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_041	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_042	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_043	RW	10	03/23/17	16.776067	-88.07465
CBC_MCAV_044	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_045	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_046	RW	16	03/23/17	16.776067	-88.07465
CBC_MCAV_047	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_048	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_049	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_050	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_051	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_052	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_053	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_054	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_055	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_056	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_057	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_058	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_059	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_060	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_061	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_062	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_063	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_064	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_065	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_066	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_067	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_068	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_069	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_070	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_071	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_072	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_073	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_074	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_075	SR	25	03/24/17	16.76895	-88.073883
CBC_MCAV_076	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_077	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_078	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_079	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_080	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_081	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_082	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_083	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_084	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_085	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_086	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_087	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_088	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_089	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_090	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_091	SR	10	03/24/17	16.76895	-88.073883
CBC_MCAV_092	SR	16	03/24/17	16.76895	-88.073883
CBC_MCAV_093	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_094	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_095	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_096	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_097	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_098	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_099	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_100	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_101	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_102	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_103	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_104	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_105	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_106	TR	16	03/24/17	16.832433	-88.074017
CBC_MCAV_107	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_108	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_109	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_110	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_111	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_112	TR	10	03/25/17	16.832433	-88.074017
