Sample, MC29, MC41, MC49, MC46, MC65, MC97, MC4, MC18, MC114
MCAV_01,"04,05","02,06","04,16","03,03","03,03","03,05","06,19","02,04","03,10"
MCAV_02,"03,06","06,07","06,14","03,03","03,03","05,05","13,26","02,05","08,10"
MCAV_03,"03,06","06,07","06,14","03,03","03,03","05,05","13,26","02,05","08,10"
MCAV_04,"05,06","06,06","01,01","03,04","03,03","05,05","08,23","04,04","06,08"
MCAV_05,"02,07","02,05","02,14","04,04","03,03","04,07","24,53","05,05","05,05"
MCAV_06,"01,05","06,06","14,14","03,03","03,04","02,03","11,33","03,04","08,09"
MCAV_07,"05,07","02,05","01,01","03,03","04,05","02,03","09,22","05,05","06,14"
MCAV_08,"04,05","06,06","02,02","03,03","03,03","02,05","08,21","03,04","09,15"
MCAV_09,"03,05","02,06","02,02","02,03","03,03","03,03","22,38","04,04","04,08"
MCAV_10,"05,08","05,06","01,01","03,04","02,03","03,05","15,21","03,05","05,07"
MCAV_11,"05,05","02,06","07,14","03,04","03,03","02,05","05,33","05,06","11,15"
MCAV_12,"03,05","06,06","07,07","03,03","03,03","03,05","19,19","03,05","03,08"
MCAV_13,"05,07","02,05","04,14","03,03","03,03","04,05","19,38","05,07","07,10"
MCAV_14,"01,06","05,05","14,17","02,03","02,03","02,05","07,40","03,06","03,09"
MCAV_15,"04,06","03,03","14,15","03,04","03,03","05,06","15,53","06,10","03,11"
MCAV_16,"04,05","02,06","01,02","03,04","04,04","04,05","17,26","99,99","04,09"
MCAV_17,"06,06","05,05","09,14","03,04","03,03","03,06","08,08","02,07","09,14"
MCAV_18,"06,06","02,05","14,14","03,03","03,03","05,05","06,06","05,05","03,07"
MCAV_19,"05,05","05,07","10,15","03,03","03,03","04,06","13,15","07,11","12,16"
MCAV_20*,"05,05","03,03","14,14","03,04","03,03","03,05","24,43","03,03","09,11"
MCAV_21,"02,06","03,06","14,14","03,03","03,04","02,04","48,48","05,05","09,10"
MCAV_22,"04,05","03,06","02,14","01,03","02,04","02,05","20,26","05,05","04,09"
MCAV_23,"06,07","03,05","14,14","03,04","03,03","05,06","06,21","07,07","03,12"
MCAV_24,"05,05","06,06","13,14","03,06","02,03","03,05","19,19","02,02","11,12"
MCAV_25,"06,06","05,05","02,02","01,02","03,03","04,05","07,24","07,10","03,07"
MCAV_26,"05,05","02,03","10,14","03,03","03,03","05,05","07,31","02,06","09,12"
MCAV_27,"05,05","06,07","14,14","03,06","03,03","05,06","13,17","06,07","11,13"
MCAV_28,"04,07","05,05","14,15","03,03","03,05","02,05","08,23","04,07","07,09"
MCAV_29,"04,05","02,07","14,14","03,04","03,04","03,06","05,05","06,07","07,09"
MCAV_30,"01,04","06,06","11,14","03,03","03,04","07,07","17,17","02,04","05,05"
MCAV_31,"04,04","02,06","14,15","04,04","04,04","04,05","07,47","05,05","09,15"
MCAV_32,"05,06","06,07","13,13","03,04","03,03","02,03","08,15","03,11","10,12"
MCAV_33,"04,05","03,05","04,14","03,04","03,03","05,06","12,23","05,05","07,12"
MCAV_34,"05,06","05,05","14,14","03,03","03,04","05,05","15,15","05,05","09,11"
MCAV_35,"05,06","02,06","14,14","03,03","04,04","02,02","06,21","02,02","09,09"
MCAV_36,"04,04","05,07","14,14","03,04","03,04","03,05","15,24","04,05","09,11"
MCAV_37,"05,05","03,05","13,14","03,03","03,03","05,05","15,16","03,07","03,05"
MCAV_38,"05,06","03,03","13,14","03,03","03,04","03,05","06,15","04,05","07,11"
MCAV_39,"05,06","02,05","14,14","03,03","03,03","05,05","17,21","06,08","07,10"
MCAV_40*,"02,05","04,07","14,15","02,03","03,04","04,06","06,48","05,06","08,15"
MCAV_41,"01,05","05,06","14,14","03,03","03,03","04,06","05,07","03,05","09,12"
MCAV_42,"03,05","06,06","14,15","03,06","03,03","02,03","15,21","04,07","08,10"
MCAV_43,"05,07","05,05","14,14","03,03","03,03","05,05","06,23","04,06","09,10"
MCAV_44,"05,06","05,05","02,02","03,06","03,03","03,05","07,23","04,07","09,12"
MCAV_45,"05,05","05,06","02,14","03,03","03,03","03,06","17,26","04,05","10,14"
MCAV_46,"01,04","06,06","14,14","03,03","03,03","05,05","15,17","06,07","11,12"
